Model version,Overall,Release date,Organization,Country,Name,Notes,Source,Source link,id
claude-3-7-sonnet-20250219,0.6583,2025-02-19,Anthropic,United States of America,Claude 3.7 Sonnet,"Official ChemBench leaderboard overall score.",ChemBench official leaderboard,https://chembench.lamalab.org/,chembench-claude-3-7-sonnet
o1-preview-2024-09-12,0.64,2024-09-12,OpenAI,United States of America,o1-preview,"Official ChemBench leaderboard overall score.",ChemBench official leaderboard,https://chembench.lamalab.org/,chembench-o1-preview
claude-3-5-sonnet-20240620,0.63,2024-06-20,Anthropic,United States of America,Claude 3.5 Sonnet,"Official ChemBench leaderboard overall score.",ChemBench official leaderboard,https://chembench.lamalab.org/,chembench-claude-3-5-sonnet
