Name,Accuracy,Release date,Organization,Result public date,Source,Source link,id
Llama-3.2-90B-Vision-Instruct,0.36,2024-09-25,Meta,2025-02-28,MaCBench official results,https://github.com/lamalab-org/macbench/blob/main/plots/RESULTS/aggregated_model_metrics_main.csv,macbench-llama32
GPT-4o-2024-08-06,0.54,2024-08-06,OpenAI,2025-02-28,MaCBench official results,https://github.com/lamalab-org/macbench/blob/main/plots/RESULTS/aggregated_model_metrics_main.csv,macbench-gpt4o
Gemini-1.5-Pro,0.57,2024-02-15,Google,2025-02-28,MaCBench official results,https://github.com/lamalab-org/macbench/blob/main/plots/RESULTS/aggregated_model_metrics_main.csv,macbench-gemini15
Claude-3.5-Sonnet-20240620,0.67,2024-06-20,Anthropic,2025-02-28,MaCBench official results,https://github.com/lamalab-org/macbench/blob/main/plots/RESULTS/aggregated_model_metrics_main.csv,macbench-claude35
