Model version,Harness,Score,Best@5,Worst@5,Implementation,Performance,Research,Average cost (USD),Average duration (hours),Aggregation,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Average rank,Implementation rank,Performance rank,Research rank,Source,Notes
claude-fable-5-1_max,proximus,0.5629078999999999,0.6665000000000001,0.4447,0.7322,0.4314,0.5135000000000001,138.55,11.62,Mean@5,2026-09-01,Anthropic,United States of America,,,Claude Fable 5.1,,,,,https://www.frontierswe.com/,"FrontierSWE V2 (mean@5 across 34 tasks, proximus harness, max reasoning effort). Site footnote: Claude Opus 5 used as fallback for tasks blocked by content filters."
gpt-5.6-sol_max,proximus,0.3220246705882353,0.44170000000000004,0.222,0.40390000000000004,0.22010000000000002,0.282,179.64,8.6,Mean@5,2026-07-09,OpenAI,United States of America,,,GPT-5.6,,,,,https://www.frontierswe.com/,
glm-5.3_max,proximus,0.3018186411764705,0.40640000000000004,0.1772,0.3465,0.2056,0.2556,97.22,17.04,Mean@5,2026-08-14,Z.ai (Zhipu AI),China,,,GLM-5.3,,,,,https://www.frontierswe.com/,
kimi-k3_max,proximus,0.25865032058823534,0.3755,0.1387,0.2989,0.1882,0.21050000000000002,109.71,18.47,Mean@5,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3,,,,,https://www.frontierswe.com/,
grok-4.6_xhigh,proximus,0.25286195882352946,0.3729,0.1286,0.2457,0.1638,0.2521,243.43,13.8,Mean@5,2026-08-12,xAI,United States of America,,,Grok 4.6,,,,,https://www.frontierswe.com/,
gemini-3.7-flash_high,proximus,0.20260590588235297,0.3123,0.1028,0.24850000000000003,0.1502,0.1431,34.14,7.87,Mean@5,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash,,,,,https://www.frontierswe.com/,
qwen3.8-max_xhigh,proximus,0.15809350588235294,0.2427,0.087,0.1094,0.1185,0.1547,55.14,18.48,Mean@5,2026-08-02,Alibaba,China,,,Qwen3.8-Max,,,,,https://www.frontierswe.com/,
muse-spark-1.2_xhigh,proximus,0.11970256470588238,0.18359999999999999,0.0684,0.0265,0.11449999999999999,0.1468,27.81,4.59,Mean@5,2026-08-05,Meta AI,United States of America,,,Muse Spark 1.2,,,,,https://www.frontierswe.com/,
Inkling_xhigh,proximus,0.04118886470588236,0.1079,0.0013000000000000002,0.004,0.0393,0.0542,9.15,1.16,Mean@5,2026-07-15,Thinking Machines,United States of America,1.845e+24,6ND = 41e9 active parameters * 45e12 tokens = 1.845e+24 FLOP,Inkling,,,,,https://www.frontierswe.com/,
