Name,Accuracy,Release date,Organization,Result public date,Source,Source link,id
Gemini-2.5-Pro,0.4952,2025-06-17,Google,2026-03-02,MV-RoboBench v2 Table,https://arxiv.org/html/2510.19400v2,mvrb-gemini25
GPT-4o,0.2759,2024-05-13,OpenAI,2026-03-02,MV-RoboBench v2 Table,https://arxiv.org/html/2510.19400v2,mvrb-gpt4o
Claude-3.5-Sonnet,0.2371,2024-06-20,Anthropic,2026-03-02,MV-RoboBench v2 Table,https://arxiv.org/html/2510.19400v2,mvrb-claude35
Qwen2-VL-7B-Instruct,0.2084,2024-08-29,Qwen/Alibaba,2026-03-02,MV-RoboBench v2 Table,https://arxiv.org/html/2510.19400v2,mvrb-qwen2vl7
Llama-4-Scout,0.2212,2025-04-05,Meta,2026-03-02,MV-RoboBench v2 Table,https://arxiv.org/html/2510.19400v2,mvrb-llama4scout
Llama-4-Maverick,0.2611,2025-04-05,Meta,2026-03-02,MV-RoboBench v2 Table,https://arxiv.org/html/2510.19400v2,mvrb-llama4maverick
GPT-5,0.5641,2025-08-07,OpenAI,2026-03-02,MV-RoboBench v2 Table,https://arxiv.org/html/2510.19400v2,mvrb-gpt5
