Name,Accuracy,Release date,Organization,Result public date,Source,Source link,id
Qwen2.5-VL-32B,0.4993,2025-03-24,Qwen,2025-09-11,MatCha v1 paper,https://arxiv.org/pdf/2509.09307,matcha-qwen25
Llama-4-Maverick,0.5480,2025-04-05,Meta,2025-09-11,MatCha v1 paper,https://arxiv.org/pdf/2509.09307,matcha-llama4
Gemini-1.5-Pro,0.5640,2024-02-15,Google,2025-09-11,MatCha v1 paper,https://arxiv.org/pdf/2509.09307,matcha-gemini15
Claude-3.5-Sonnet,0.5773,2024-06-20,Anthropic,2025-09-11,MatCha v1 paper,https://arxiv.org/pdf/2509.09307,matcha-claude35
GPT-4o,0.5907,2024-05-13,OpenAI,2025-09-11,MatCha v1 paper,https://arxiv.org/pdf/2509.09307,matcha-gpt4o
