Name,Overall ACC,Release date,Organization,Result public date,Source,Source link,id
Qwen-2.5-VL-3B,0.0000,2025-02-19,Qwen,2026-07-15,CheMM-Bench ACL 2026 paper,https://aclanthology.org/2026.findings-acl.1341.pdf,chemm-qwen25
GPT-4o,0.0031,2024-05-13,OpenAI,2026-07-15,CheMM-Bench ACL 2026 paper,https://aclanthology.org/2026.findings-acl.1341.pdf,chemm-gpt4o
Claude-Sonnet-4,0.0177,2025-05-22,Anthropic,2026-07-15,CheMM-Bench ACL 2026 paper,https://aclanthology.org/2026.findings-acl.1341.pdf,chemm-claude4
GPT-o3,0.0334,2025-04-16,OpenAI,2026-07-15,CheMM-Bench ACL 2026 paper,https://aclanthology.org/2026.findings-acl.1341.pdf,chemm-o3
Grok-4,0.0351,2025-07-09,xAI,2026-07-15,CheMM-Bench ACL 2026 paper,https://aclanthology.org/2026.findings-acl.1341.pdf,chemm-grok4
Gemini-2.5-Flash,0.0431,2025-04-17,Google,2026-07-15,CheMM-Bench ACL 2026 paper,https://aclanthology.org/2026.findings-acl.1341.pdf,chemm-gemini25-flash
Gemini-2.5-Pro,0.0795,2025-06-17,Google,2026-07-15,CheMM-Bench ACL 2026 paper,https://aclanthology.org/2026.findings-acl.1341.pdf,chemm-gemini25-pro
